"team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"Golden State Warriors","3/31/17",2016,3,4,13,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",-17,21,"Andre Iguodala",32
"Golden State Warriors","3/18/17",2016,1,3,45,"shot_yes","Driving Reverse Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,"Andre Iguodala",9
"Golden State Warriors","11/9/16",2016,2,3,48,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"Dallas Mavericks",14,2,"Andre Iguodala",21
"Golden State Warriors","11/1/16",2016,1,3,11,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",2,7,"Andre Iguodala",9
"Golden State Warriors","1/8/17",2016,1,3,53,"shot_yes","Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,"Andre Iguodala",9
"Golden State Warriors","3/24/17",2016,3,3,1,"shot_yes","Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,"Andre Iguodala",33
"Golden State Warriors","10/28/16",2016,3,0,2,"shot_yes","Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,"Andre Iguodala",36
"Golden State Warriors","3/28/17",2016,1,3,15,"shot_yes","Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,"Andre Iguodala",9
"Golden State Warriors","3/31/17",2016,4,0,29,"shot_yes","Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,"Andre Iguodala",48
"Golden State Warriors","3/20/17",2016,2,2,32,"shot_yes","Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,"Andre Iguodala",22
"Golden State Warriors","2/28/17",2016,4,5,20,"shot_no","Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,"Andre Iguodala",43
"Golden State Warriors","1/28/17",2016,3,3,44,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,"Andre Iguodala",33
"Golden State Warriors","2/23/17",2016,3,5,22,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,"Andre Iguodala",31
"Golden State Warriors","10/30/16",2016,2,0,43,"shot_yes","Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,"Andre Iguodala",24
"Golden State Warriors","1/28/17",2016,2,0,28,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,"Andre Iguodala",24
"Golden State Warriors","1/18/17",2016,4,10,24,"shot_yes","Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,"Andre Iguodala",38
"Golden State Warriors","11/3/16",2016,4,10,13,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",19,"Oklahoma City Thunder",195,-1,"Andre Iguodala",38
"Golden State Warriors","12/28/16",2016,3,1,10,"shot_yes","Finger Roll Layup Shot","2PT Field Goal",1,"Toronto Raptors",-1,16,"Andre Iguodala",35
"Golden State Warriors","2/10/17",2016,2,4,36,"shot_yes","Floating Jump shot","2PT Field Goal",17,"Memphis Grizzlies",-109,136,"Andre Iguodala",20
"Golden State Warriors","1/2/17",2016,3,0,0,"shot_no","Floating Jump shot","2PT Field Goal",10,"Denver Nuggets",-29,97,"Andre Iguodala",36
"Golden State Warriors","12/28/16",2016,4,11,14,"shot_yes","Hook Shot","2PT Field Goal",5,"Toronto Raptors",-29,41,"Andre Iguodala",37
"Golden State Warriors","11/18/16",2016,2,3,4,"shot_yes","Hook Shot","2PT Field Goal",0,"Boston Celtics",0,1,"Andre Iguodala",21
"Golden State Warriors","11/1/16",2016,4,9,22,"shot_no","Hook Shot","2PT Field Goal",3,"Portland Trail Blazers",-32,7,"Andre Iguodala",39
"Golden State Warriors","12/25/16",2016,2,0,46,"shot_no","Jump Bank Shot","2PT Field Goal",7,"Cleveland Cavaliers",68,36,"Andre Iguodala",24
"Golden State Warriors","3/2/17",2016,2,0,22,"shot_no","Jump Shot","3PT Field Goal",26,"Chicago Bulls",-191,180,"Andre Iguodala",24
"Golden State Warriors","4/4/17",2016,1,0,18,"shot_yes","Jump Shot","2PT Field Goal",18,"Minnesota Timberwolves",117,144,"Andre Iguodala",12
"Golden State Warriors","3/31/17",2016,1,2,2,"shot_yes","Jump Shot","3PT Field Goal",27,"Houston Rockets",81,262,"Andre Iguodala",10
"Golden State Warriors","3/31/17",2016,2,0,0,"shot_yes","Jump Shot","3PT Field Goal",27,"Houston Rockets",-215,165,"Andre Iguodala",24
"Golden State Warriors","3/31/17",2016,4,8,12,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",87,242,"Andre Iguodala",40
"Golden State Warriors","3/31/17",2016,2,8,11,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",-60,247,"Andre Iguodala",16
"Golden State Warriors","3/31/17",2016,1,1,29,"shot_no","Jump Shot","3PT Field Goal",25,"Houston Rockets",-119,228,"Andre Iguodala",11
"Golden State Warriors","3/31/17",2016,4,1,39,"shot_no","Jump Shot","3PT Field Goal",23,"Houston Rockets",-227,67,"Andre Iguodala",47
"Golden State Warriors","3/31/17",2016,1,5,0,"shot_no","Jump Shot","2PT Field Goal",19,"Houston Rockets",109,159,"Andre Iguodala",7
"Golden State Warriors","3/29/17",2016,2,10,3,"shot_no","Jump Shot","3PT Field Goal",24,"San Antonio Spurs",161,183,"Andre Iguodala",14
"Golden State Warriors","3/29/17",2016,1,2,31,"shot_yes","Jump Shot","3PT Field Goal",23,"San Antonio Spurs",233,2,"Andre Iguodala",10
"Golden State Warriors","3/29/17",2016,2,4,39,"shot_yes","Jump Shot","3PT Field Goal",25,"San Antonio Spurs",-207,154,"Andre Iguodala",20
"Golden State Warriors","3/29/17",2016,1,0,49,"shot_yes","Jump Shot","2PT Field Goal",19,"San Antonio Spurs",-158,120,"Andre Iguodala",12
"Golden State Warriors","3/28/17",2016,3,4,31,"shot_yes","Jump Shot","3PT Field Goal",23,"Houston Rockets",233,26,"Andre Iguodala",32
"Golden State Warriors","3/28/17",2016,3,6,52,"shot_no","Jump Shot","3PT Field Goal",22,"Houston Rockets",223,51,"Andre Iguodala",30
"Golden State Warriors","3/28/17",2016,4,10,38,"shot_no","Jump Shot","3PT Field Goal",24,"Houston Rockets",225,97,"Andre Iguodala",38
"Golden State Warriors","3/28/17",2016,2,9,9,"shot_no","Jump Shot","3PT Field Goal",23,"Houston Rockets",228,70,"Andre Iguodala",15
"Golden State Warriors","3/26/17",2016,2,8,39,"shot_no","Jump Shot","2PT Field Goal",14,"Memphis Grizzlies",-133,46,"Andre Iguodala",16
"Golden State Warriors","3/26/17",2016,1,5,5,"shot_yes","Jump Shot","3PT Field Goal",26,"Memphis Grizzlies",-212,160,"Andre Iguodala",7
"Golden State Warriors","3/24/17",2016,1,2,31,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",-55,247,"Andre Iguodala",10
"Golden State Warriors","3/24/17",2016,2,11,38,"shot_no","Jump Shot","2PT Field Goal",17,"Sacramento Kings",-124,129,"Andre Iguodala",13
"Golden State Warriors","3/20/17",2016,3,0,35,"shot_no","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-189,164,"Andre Iguodala",36
"Golden State Warriors","3/20/17",2016,1,2,33,"shot_no","Jump Shot","2PT Field Goal",17,"Oklahoma City Thunder",171,11,"Andre Iguodala",10
"Golden State Warriors","3/18/17",2016,4,8,11,"shot_no","Jump Shot","2PT Field Goal",3,"Milwaukee Bucks",17,28,"Andre Iguodala",40
"Golden State Warriors","3/16/17",2016,4,10,21,"shot_no","Jump Shot","3PT Field Goal",26,"Orlando Magic",-122,232,"Andre Iguodala",38
"Golden State Warriors","3/14/17",2016,2,7,38,"shot_no","Jump Shot","2PT Field Goal",3,"Philadelphia 76ers",-29,26,"Andre Iguodala",17
"Golden State Warriors","3/6/17",2016,4,2,38,"shot_yes","Jump Shot","3PT Field Goal",23,"Atlanta Hawks",233,18,"Andre Iguodala",46
"Golden State Warriors","3/6/17",2016,4,5,18,"shot_no","Jump Shot","3PT Field Goal",25,"Atlanta Hawks",168,193,"Andre Iguodala",43
"Golden State Warriors","3/6/17",2016,2,4,48,"shot_yes","Jump Shot","3PT Field Goal",23,"Atlanta Hawks",236,16,"Andre Iguodala",20
"Golden State Warriors","3/6/17",2016,1,4,44,"shot_yes","Jump Shot","3PT Field Goal",24,"Atlanta Hawks",238,46,"Andre Iguodala",8
"Golden State Warriors","3/6/17",2016,2,7,10,"shot_no","Jump Shot","3PT Field Goal",22,"Atlanta Hawks",-227,13,"Andre Iguodala",17
"Golden State Warriors","3/6/17",2016,4,6,9,"shot_yes","Jump Shot","3PT Field Goal",24,"Atlanta Hawks",-60,242,"Andre Iguodala",42
"Golden State Warriors","3/5/17",2016,4,6,56,"shot_no","Jump Shot","3PT Field Goal",24,"New York Knicks",191,151,"Andre Iguodala",42
"Golden State Warriors","3/5/17",2016,2,8,1,"shot_no","Jump Shot","3PT Field Goal",23,"New York Knicks",-233,-31,"Andre Iguodala",16
"Golden State Warriors","3/5/17",2016,2,8,32,"shot_no","Jump Shot","3PT Field Goal",23,"New York Knicks",232,-26,"Andre Iguodala",16
"Golden State Warriors","3/5/17",2016,2,4,51,"shot_yes","Jump Shot","3PT Field Goal",24,"New York Knicks",-158,188,"Andre Iguodala",20
"Golden State Warriors","3/5/17",2016,2,4,1,"shot_yes","Jump Shot","3PT Field Goal",24,"New York Knicks",205,136,"Andre Iguodala",20
"Golden State Warriors","3/2/17",2016,4,10,17,"shot_no","Jump Shot","3PT Field Goal",23,"Chicago Bulls",233,-6,"Andre Iguodala",38
"Golden State Warriors","2/15/17",2016,2,8,48,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",1,257,"Andre Iguodala",16
"Golden State Warriors","2/13/17",2016,2,1,14,"shot_no","Jump Shot","3PT Field Goal",23,"Denver Nuggets",232,7,"Andre Iguodala",23
"Golden State Warriors","2/13/17",2016,2,9,31,"shot_no","Jump Shot","3PT Field Goal",25,"Denver Nuggets",161,203,"Andre Iguodala",15
"Golden State Warriors","2/13/17",2016,3,2,27,"shot_no","Jump Shot","3PT Field Goal",25,"Denver Nuggets",-173,183,"Andre Iguodala",34
"Golden State Warriors","2/13/17",2016,3,3,2,"shot_yes","Jump Shot","2PT Field Goal",16,"Denver Nuggets",168,21,"Andre Iguodala",33
"Golden State Warriors","2/13/17",2016,3,0,27,"shot_yes","Jump Shot","3PT Field Goal",25,"Denver Nuggets",200,164,"Andre Iguodala",36
"Golden State Warriors","2/11/17",2016,4,11,26,"shot_no","Jump Shot","2PT Field Goal",18,"Oklahoma City Thunder",-66,169,"Andre Iguodala",37
"Golden State Warriors","2/11/17",2016,3,2,45,"shot_no","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",179,169,"Andre Iguodala",34
"Golden State Warriors","2/11/17",2016,1,1,23,"shot_yes","Jump Shot","3PT Field Goal",22,"Oklahoma City Thunder",-225,-10,"Andre Iguodala",11
"Golden State Warriors","2/11/17",2016,2,7,47,"shot_no","Jump Shot","3PT Field Goal",22,"Oklahoma City Thunder",223,38,"Andre Iguodala",17
"Golden State Warriors","2/11/17",2016,4,8,15,"shot_no","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",-143,193,"Andre Iguodala",40
"Golden State Warriors","2/10/17",2016,2,5,22,"shot_yes","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",28,249,"Andre Iguodala",19
"Golden State Warriors","2/10/17",2016,3,3,3,"shot_no","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",186,178,"Andre Iguodala",33
"Golden State Warriors","2/10/17",2016,2,10,22,"shot_yes","Jump Shot","3PT Field Goal",22,"Memphis Grizzlies",-227,2,"Andre Iguodala",14
"Golden State Warriors","2/8/17",2016,2,8,42,"shot_no","Jump Shot","3PT Field Goal",26,"Chicago Bulls",64,259,"Andre Iguodala",16
"Golden State Warriors","2/4/17",2016,2,10,42,"shot_no","Jump Shot","3PT Field Goal",23,"Sacramento Kings",-233,31,"Andre Iguodala",14
"Golden State Warriors","2/4/17",2016,4,8,47,"shot_no","Jump Shot","3PT Field Goal",24,"Sacramento Kings",-202,141,"Andre Iguodala",40
"Golden State Warriors","2/4/17",2016,4,10,7,"shot_no","Jump Shot","3PT Field Goal",25,"Sacramento Kings",187,174,"Andre Iguodala",38
"Golden State Warriors","2/4/17",2016,4,4,35,"shot_no","Jump Shot","2PT Field Goal",17,"Sacramento Kings",171,13,"Andre Iguodala",44
"Golden State Warriors","2/2/17",2016,4,0,11,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-174,193,"Andre Iguodala",48
"Golden State Warriors","2/2/17",2016,4,10,3,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-63,249,"Andre Iguodala",38
"Golden State Warriors","2/2/17",2016,3,5,5,"shot_yes","Jump Shot","3PT Field Goal",23,"Los Angeles Clippers",-233,3,"Andre Iguodala",31
"Golden State Warriors","2/2/17",2016,4,4,16,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-165,205,"Andre Iguodala",44
"Golden State Warriors","2/1/17",2016,1,0,8,"shot_no","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",-179,193,"Andre Iguodala",12
"Golden State Warriors","1/29/17",2016,4,6,6,"shot_yes","Jump Shot","3PT Field Goal",23,"Portland Trail Blazers",-228,46,"Andre Iguodala",42
"Golden State Warriors","1/29/17",2016,2,10,3,"shot_no","Jump Shot","3PT Field Goal",22,"Portland Trail Blazers",-225,7,"Andre Iguodala",14
"Golden State Warriors","1/28/17",2016,3,2,3,"shot_yes","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",153,210,"Andre Iguodala",34
"Golden State Warriors","1/28/17",2016,3,5,3,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Clippers",182,159,"Andre Iguodala",31
"Golden State Warriors","1/28/17",2016,4,11,40,"shot_no","Jump Shot","2PT Field Goal",11,"Los Angeles Clippers",-12,115,"Andre Iguodala",37
"Golden State Warriors","1/28/17",2016,3,4,31,"shot_no","Jump Shot","3PT Field Goal",23,"Los Angeles Clippers",232,26,"Andre Iguodala",32
"Golden State Warriors","1/25/17",2016,2,10,44,"shot_no","Jump Shot","2PT Field Goal",15,"Charlotte Hornets",-73,134,"Andre Iguodala",14
"Golden State Warriors","1/22/17",2016,4,11,36,"shot_yes","Jump Shot","3PT Field Goal",22,"Orlando Magic",-228,3,"Andre Iguodala",37
"Golden State Warriors","1/22/17",2016,4,10,20,"shot_no","Jump Shot","3PT Field Goal",23,"Orlando Magic",-238,0,"Andre Iguodala",38
"Golden State Warriors","1/22/17",2016,2,3,15,"shot_no","Jump Shot","3PT Field Goal",25,"Orlando Magic",179,188,"Andre Iguodala",21
"Golden State Warriors","1/22/17",2016,2,10,45,"shot_no","Jump Shot","3PT Field Goal",25,"Orlando Magic",125,223,"Andre Iguodala",14
"Golden State Warriors","1/20/17",2016,1,0,26,"shot_no","Jump Shot","2PT Field Goal",14,"Houston Rockets",-137,41,"Andre Iguodala",12
"Golden State Warriors","1/20/17",2016,2,11,33,"shot_yes","Jump Shot","3PT Field Goal",25,"Houston Rockets",-171,183,"Andre Iguodala",13
"Golden State Warriors","1/20/17",2016,2,7,2,"shot_no","Jump Shot","3PT Field Goal",23,"Houston Rockets",238,3,"Andre Iguodala",17
"Golden State Warriors","1/18/17",2016,1,6,38,"shot_yes","Jump Shot","2PT Field Goal",20,"Oklahoma City Thunder",-73,188,"Andre Iguodala",6
"Golden State Warriors","1/16/17",2016,1,4,23,"shot_yes","Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",-205,156,"Andre Iguodala",8
"Golden State Warriors","1/8/17",2016,4,3,6,"shot_yes","Jump Shot","3PT Field Goal",24,"Sacramento Kings",225,97,"Andre Iguodala",45
"Golden State Warriors","1/8/17",2016,1,2,12,"shot_no","Jump Shot","2PT Field Goal",21,"Sacramento Kings",109,185,"Andre Iguodala",10
"Golden State Warriors","1/8/17",2016,3,2,19,"shot_no","Jump Shot","2PT Field Goal",16,"Sacramento Kings",91,139,"Andre Iguodala",34
"Golden State Warriors","1/6/17",2016,4,11,39,"shot_no","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",132,218,"Andre Iguodala",37
"Golden State Warriors","1/4/17",2016,1,1,58,"shot_yes","Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",-129,232,"Andre Iguodala",11
"Golden State Warriors","1/2/17",2016,3,0,13,"shot_no","Jump Shot","3PT Field Goal",23,"Denver Nuggets",-235,8,"Andre Iguodala",36
"Golden State Warriors","12/30/16",2016,2,9,55,"shot_no","Jump Shot","3PT Field Goal",23,"Dallas Mavericks",230,18,"Andre Iguodala",15
"Golden State Warriors","12/30/16",2016,1,0,0,"shot_no","Jump Shot","3PT Field Goal",28,"Dallas Mavericks",-68,277,"Andre Iguodala",12
"Golden State Warriors","12/25/16",2016,2,1,55,"shot_no","Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",230,2,"Andre Iguodala",23
"Golden State Warriors","12/25/16",2016,2,1,22,"shot_no","Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",-237,2,"Andre Iguodala",23
"Golden State Warriors","12/23/16",2016,1,4,6,"shot_no","Jump Shot","2PT Field Goal",15,"Detroit Pistons",-137,62,"Andre Iguodala",8
"Golden State Warriors","12/22/16",2016,4,6,56,"shot_yes","Jump Shot","3PT Field Goal",25,"Brooklyn Nets",-179,175,"Andre Iguodala",42
"Golden State Warriors","12/22/16",2016,3,1,39,"shot_yes","Jump Shot","3PT Field Goal",24,"Brooklyn Nets",99,228,"Andre Iguodala",35
"Golden State Warriors","12/22/16",2016,2,1,24,"shot_no","Jump Shot","3PT Field Goal",23,"Brooklyn Nets",-230,-19,"Andre Iguodala",23
"Golden State Warriors","12/22/16",2016,1,4,0,"shot_yes","Jump Shot","2PT Field Goal",18,"Brooklyn Nets",125,139,"Andre Iguodala",8
"Golden State Warriors","12/22/16",2016,3,3,48,"shot_no","Jump Shot","3PT Field Goal",22,"Brooklyn Nets",223,11,"Andre Iguodala",33
"Golden State Warriors","12/22/16",2016,4,9,9,"shot_no","Jump Shot","3PT Field Goal",23,"Brooklyn Nets",233,-15,"Andre Iguodala",39
"Golden State Warriors","12/17/16",2016,1,2,56,"shot_no","Jump Shot","2PT Field Goal",17,"Portland Trail Blazers",122,129,"Andre Iguodala",10
"Golden State Warriors","12/17/16",2016,4,11,4,"shot_yes","Jump Shot","2PT Field Goal",18,"Portland Trail Blazers",-65,169,"Andre Iguodala",37
"Golden State Warriors","12/17/16",2016,1,1,49,"shot_no","Jump Shot","3PT Field Goal",22,"Portland Trail Blazers",227,-1,"Andre Iguodala",11
"Golden State Warriors","12/17/16",2016,4,11,40,"shot_yes","Jump Shot","2PT Field Goal",20,"Portland Trail Blazers",-9,205,"Andre Iguodala",37
"Golden State Warriors","12/15/16",2016,4,9,15,"shot_no","Jump Shot","3PT Field Goal",23,"New York Knicks",-232,61,"Andre Iguodala",39
"Golden State Warriors","12/13/16",2016,3,0,48,"shot_no","Jump Shot","3PT Field Goal",22,"New Orleans Pelicans",-228,7,"Andre Iguodala",36
"Golden State Warriors","12/13/16",2016,4,8,0,"shot_yes","Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",123,224,"Andre Iguodala",40
"Golden State Warriors","12/13/16",2016,1,0,0,"shot_no","Jump Shot","3PT Field Goal",26,"New Orleans Pelicans",-214,164,"Andre Iguodala",12
"Golden State Warriors","12/13/16",2016,2,2,27,"shot_no","Jump Shot","3PT Field Goal",23,"New Orleans Pelicans",238,8,"Andre Iguodala",22
"Golden State Warriors","12/13/16",2016,2,9,41,"shot_yes","Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",235,105,"Andre Iguodala",15
"Golden State Warriors","12/11/16",2016,2,9,20,"shot_no","Jump Shot","2PT Field Goal",19,"Minnesota Timberwolves",-76,183,"Andre Iguodala",15
"Golden State Warriors","12/11/16",2016,4,4,33,"shot_yes","Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",215,124,"Andre Iguodala",44
"Golden State Warriors","12/11/16",2016,3,0,0,"shot_no","Jump Shot","3PT Field Goal",47,"Minnesota Timberwolves",-125,457,"Andre Iguodala",36
"Golden State Warriors","12/11/16",2016,4,9,29,"shot_no","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",232,11,"Andre Iguodala",39
"Golden State Warriors","12/8/16",2016,3,3,5,"shot_no","Jump Shot","2PT Field Goal",18,"Utah Jazz",-168,65,"Andre Iguodala",33
"Golden State Warriors","12/8/16",2016,4,10,4,"shot_no","Jump Shot","3PT Field Goal",24,"Utah Jazz",-202,134,"Andre Iguodala",38
"Golden State Warriors","12/7/16",2016,4,11,13,"shot_no","Jump Shot","2PT Field Goal",3,"Los Angeles Clippers",-4,33,"Andre Iguodala",37
"Golden State Warriors","12/7/16",2016,2,2,4,"shot_no","Jump Shot","3PT Field Goal",24,"Los Angeles Clippers",-240,16,"Andre Iguodala",22
"Golden State Warriors","12/7/16",2016,4,10,6,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",159,200,"Andre Iguodala",38
"Golden State Warriors","12/5/16",2016,2,1,58,"shot_no","Jump Shot","2PT Field Goal",18,"Indiana Pacers",-137,124,"Andre Iguodala",23
"Golden State Warriors","12/3/16",2016,2,8,26,"shot_no","Jump Shot","2PT Field Goal",7,"Phoenix Suns",-74,28,"Andre Iguodala",16
